X,Y,Z,IN_frac,MK_frac,INC_frac
8.26,-11.02,23.274094,0.545188859,0,0.454811141
9.44,-11.02,23.274094,0.545188859,0,0.454811141
10.62,-11.02,23.274094,0.545188859,0,0.454811141
0,-9.84,23.274094,0.587126464,0,0.412873536
1.18,-9.84,23.274094,0.587126464,0,0.412873536
2.36,-9.84,23.274094,0.587126464,0,0.412873536
3.54,-9.84,23.274094,0.587126464,0,0.412873536
4.72,-9.84,23.274094,0.587126464,0,0.412873536
5.9,-9.84,23.274094,0.587126464,0,0.412873536
7.08,-9.84,23.274094,0.587126464,0,0.412873536
8.26,-9.84,23.274094,0.587126464,0,0.412873536
9.44,-9.84,23.274094,0.587126464,0,0.412873536
10.62,-9.84,23.274094,0.587126464,0,0.412873536
0,-8.66,23.274094,0.629064068,0,0.370935932
1.18,-8.66,23.274094,0.629064068,0,0.370935932
2.36,-8.66,23.274094,0.629064068,0,0.370935932
3.54,-8.66,23.274094,0.629064068,0,0.370935932
4.72,-8.66,23.274094,0.629064068,0,0.370935932
5.9,-8.66,23.274094,0.629064068,0,0.370935932
7.08,-8.66,23.274094,0.629064068,0,0.370935932
8.26,-8.66,23.274094,0.629064068,0,0.370935932
9.44,-8.66,23.274094,0.629064068,0,0.370935932
10.62,-8.66,23.274094,0.629064068,0,0.370935932
0,-7.48,23.274094,0.712939278,0,0.287060722
1.18,-7.48,23.274094,0.712939278,0,0.287060722
2.36,-7.48,23.274094,0.712939278,0,0.287060722
3.54,-7.48,23.274094,0.712939278,0,0.287060722
4.72,-7.48,23.274094,0.712939278,0,0.287060722
5.9,-7.48,23.274094,0.712939278,0,0.287060722
7.08,-7.48,23.274094,0.712939278,0,0.287060722
8.26,-7.48,23.274094,0.712939278,0,0.287060722
9.44,-7.48,23.274094,0.712939278,0,0.287060722
10.62,-7.48,23.274094,0.712939278,0,0.287060722
0,-6.3,23.274094,0.754876882,0,0.245123118
1.18,-6.3,23.274094,0.754876882,0,0.245123118
2.36,-6.3,23.274094,0.754876882,0,0.245123118
3.54,-6.3,23.274094,0.754876882,0,0.245123118
4.72,-6.3,23.274094,0.754876882,0,0.245123118
5.9,-6.3,23.274094,0.754876882,0,0.245123118
7.08,-6.3,23.274094,0.754876882,0,0.245123118
8.26,-6.3,23.274094,0.754876882,0,0.245123118
9.44,-6.3,23.274094,0.754876882,0,0.245123118
10.62,-6.3,23.274094,0.754876882,0,0.245123118
0,-5.12,23.274094,0.796814487,0,0.203185513
1.18,-5.12,23.274094,0.796814487,0,0.203185513
2.36,-5.12,23.274094,0.796814487,0,0.203185513
3.54,-5.12,23.274094,0.796814487,0,0.203185513
4.72,-5.12,23.274094,0.796814487,0,0.203185513
5.9,-5.12,23.274094,0.796814487,0,0.203185513
7.08,-5.12,23.274094,0.796814487,0,0.203185513
8.26,-5.12,23.274094,0.796814487,0,0.203185513
9.44,-5.12,23.274094,0.796814487,0,0.203185513
10.62,-5.12,23.274094,0.796814487,0,0.203185513
0,-3.94,23.274094,0.838752091,0,0.161247909
1.18,-3.94,23.274094,0.838752091,0,0.161247909
2.36,-3.94,23.274094,0.838752091,0,0.161247909
3.54,-3.94,23.274094,0.838752091,0,0.161247909
4.72,-3.94,23.274094,0.838752091,0,0.161247909
5.9,-3.94,23.274094,0.838752091,0,0.161247909
7.08,-3.94,23.274094,0.838752091,0,0.161247909
8.26,-3.94,23.274094,0.838752091,0,0.161247909
9.44,-3.94,23.274094,0.838752091,0,0.161247909
10.62,-3.94,23.274094,0.838752091,0,0.161247909
0,-2.76,23.274094,0.880689696,0,0.119310304
1.18,-2.76,23.274094,0.880689696,0,0.119310304
2.36,-2.76,23.274094,0.880689696,0,0.119310304
3.54,-2.76,23.274094,0.880689696,0,0.119310304
4.72,-2.76,23.274094,0.880689696,0,0.119310304
5.9,-2.76,23.274094,0.880689696,0,0.119310304
7.08,-2.76,23.274094,0.880689696,0,0.119310304
8.26,-2.76,23.274094,0.880689696,0,0.119310304
9.44,-2.76,23.274094,0.880689696,0,0.119310304
10.62,-2.76,23.274094,0.880689696,0,0.119310304
0,-1.58,23.274094,0.9226273,0,0.0773727
1.18,-1.58,23.274094,0.9226273,0,0.0773727
2.36,-1.58,23.274094,0.9226273,0,0.0773727
3.54,-1.58,23.274094,0.9226273,0,0.0773727
4.72,-1.58,23.274094,0.9226273,0,0.0773727
5.9,-1.58,23.274094,0.9226273,0,0.0773727
