X,Y,Z
7.08,14.94,23.274094
8.26,14.94,23.274094
9.44,14.94,23.274094
10.62,14.94,23.274094
0,16.12,23.274094
1.18,16.12,23.274094
2.36,16.12,23.274094
3.54,16.12,23.274094
4.72,16.12,23.274094
5.9,16.12,23.274094
7.08,16.12,23.274094
8.26,16.12,23.274094
9.44,16.12,23.274094
10.62,16.12,23.274094
0,17.3,23.274094
1.18,17.3,23.274094
2.36,17.3,23.274094
3.54,17.3,23.274094
4.72,17.3,23.274094
5.9,17.3,23.274094
7.08,17.3,23.274094
8.26,17.3,23.274094
9.44,17.3,23.274094
10.62,17.3,23.274094
0,18.48,23.274094
1.18,18.48,23.274094
2.36,18.48,23.274094
3.54,18.48,23.274094
4.72,18.48,23.274094
5.9,18.48,23.274094
7.08,18.48,23.274094
8.26,18.48,23.274094
9.44,18.48,23.274094
10.62,18.48,23.274094
0,19.66,23.274094
1.18,19.66,23.274094
2.36,19.66,23.274094
3.54,19.66,23.274094
4.72,19.66,23.274094
5.9,19.66,23.274094
7.08,19.66,23.274094
8.26,19.66,23.274094
9.44,19.66,23.274094
10.62,19.66,23.274094
0,20.84,23.274094
1.18,20.84,23.274094
2.36,20.84,23.274094
3.54,20.84,23.274094
4.72,20.84,23.274094
5.9,20.84,23.274094
7.08,20.84,23.274094
8.26,20.84,23.274094
9.44,20.84,23.274094
10.62,20.84,23.274094
0,22.02,23.274094
1.18,22.02,23.274094
2.36,22.02,23.274094
3.54,22.02,23.274094
4.72,22.02,23.274094
5.9,22.02,23.274094
7.08,22.02,23.274094
8.26,22.02,23.274094
9.44,22.02,23.274094
10.62,22.02,23.274094
0,23.2,23.274094
1.18,23.2,23.274094
2.36,23.2,23.274094
3.54,23.2,23.274094
4.72,23.2,23.274094
5.9,23.2,23.274094
7.08,23.2,23.274094
8.26,23.2,23.274094
9.44,23.2,23.274094
10.62,23.2,23.274094
0,24.38,23.274094
1.18,24.38,23.274094
2.36,24.38,23.274094
3.54,24.38,23.274094
4.72,24.38,23.274094
5.9,24.38,23.274094
7.08,24.38,23.274094
8.26,24.38,23.274094
9.44,24.38,23.274094
10.62,24.38,23.274094
0,-24,23.894094
0,-22.82,23.894094
0,-21.64,23.894094
0,-20.46,23.894094
0,-19.28,23.894094
0,-18.1,23.894094
0,-16.92,23.894094
0,-15.74,23.894094
0,-14.56,23.894094
0,-13.38,23.894094
0,-12.2,23.894094
0,-11.02,23.894094
0,-9.84,23.894094
0,-8.66,23.894094
0,-7.48,23.894094
0,-6.3,23.894094
0,-5.12,23.894094
0,-3.94,23.894094
0,-2.76,23.894094
0,-1.58,23.894094
0,-0.400000000000002,23.894094
0,0.779999999999998,23.894094
0,1.96,23.894094
0,3.14,23.894094
0,4.32,23.894094
0,5.5,23.894094
0,6.68,23.894094
0,7.86,23.894094
0,9.04,23.894094
0,10.22,23.894094
0,11.4,23.894094
0,12.58,23.894094
0,13.76,23.894094
0,14.94,23.894094
0,16.12,23.894094
0,17.3,23.894094
0,18.48,23.894094
0,19.66,23.894094
0,20.84,23.894094
0,22.02,23.894094
0,23.2,23.894094
0,24.38,23.894094
1.18,-24,23.894094
1.18,-22.82,23.894094
1.18,-21.64,23.894094
1.18,-20.46,23.894094
1.18,-19.28,23.894094
1.18,-18.1,23.894094
1.18,-16.92,23.894094
1.18,-15.74,23.894094
1.18,-14.56,23.894094
1.18,-13.38,23.894094
1.18,-12.2,23.894094
1.18,-11.02,23.894094
1.18,-9.84,23.894094
1.18,-8.66,23.894094
1.18,-7.48,23.894094
1.18,-6.3,23.894094
1.18,-5.12,23.894094
1.18,-3.94,23.894094
1.18,-2.76,23.894094
1.18,-1.58,23.894094
1.18,-0.400000000000002,23.894094
1.18,0.779999999999998,23.894094
1.18,1.96,23.894094
1.18,3.14,23.894094
1.18,4.32,23.894094
1.18,5.5,23.894094
1.18,6.68,23.894094
1.18,7.86,23.894094
1.18,9.04,23.894094
1.18,10.22,23.894094
1.18,11.4,23.894094
1.18,12.58,23.894094
1.18,13.76,23.894094
1.18,14.94,23.894094
1.18,16.12,23.894094
1.18,17.3,23.894094
1.18,18.48,23.894094
1.18,19.66,23.894094
1.18,20.84,23.894094
1.18,22.02,23.894094
1.18,23.2,23.894094
1.18,24.38,23.894094
2.36,-24,23.894094
2.36,-22.82,23.894094
2.36,-21.64,23.894094
2.36,-20.46,23.894094
2.36,-19.28,23.894094
2.36,-18.1,23.894094
2.36,-16.92,23.894094
2.36,-15.74,23.894094
2.36,-14.56,23.894094
2.36,-13.38,23.894094
2.36,-12.2,23.894094
2.36,-11.02,23.894094
2.36,-9.84,23.894094
2.36,-8.66,23.894094
2.36,-7.48,23.894094
2.36,-6.3,23.894094
2.36,-5.12,23.894094
2.36,-3.94,23.894094
2.36,-2.76,23.894094
2.36,-1.58,23.894094
2.36,-0.400000000000002,23.894094
2.36,0.779999999999998,23.894094
2.36,1.96,23.894094
2.36,3.14,23.894094
2.36,4.32,23.894094
2.36,5.5,23.894094
2.36,6.68,23.894094
2.36,7.86,23.894094
2.36,9.04,23.894094
2.36,10.22,23.894094
2.36,11.4,23.894094
2.36,12.58,23.894094
2.36,13.76,23.894094
2.36,14.94,23.894094
2.36,16.12,23.894094
2.36,17.3,23.894094
2.36,18.48,23.894094
2.36,19.66,23.894094
2.36,20.84,23.894094
2.36,22.02,23.894094
2.36,23.2,23.894094
2.36,24.38,23.894094
3.54,-24,23.894094
3.54,-22.82,23.894094
3.54,-21.64,23.894094
3.54,-20.46,23.894094
3.54,-19.28,23.894094
3.54,-18.1,23.894094
3.54,-16.92,23.894094
3.54,-15.74,23.894094
3.54,-14.56,23.894094
3.54,-13.38,23.894094
3.54,-12.2,23.894094
3.54,-11.02,23.894094
3.54,-9.84,23.894094
3.54,-8.66,23.894094
3.54,-7.48,23.894094
3.54,-6.3,23.894094
3.54,-5.12,23.894094
3.54,-3.94,23.894094
3.54,-2.76,23.894094
3.54,-1.58,23.894094
3.54,-0.400000000000002,23.894094
3.54,0.779999999999998,23.894094
3.54,1.96,23.894094
3.54,3.14,23.894094
3.54,4.32,23.894094
3.54,5.5,23.894094
3.54,6.68,23.894094
3.54,7.86,23.894094
3.54,9.04,23.894094
3.54,10.22,23.894094
3.54,11.4,23.894094
3.54,12.58,23.894094
3.54,13.76,23.894094
3.54,14.94,23.894094
3.54,16.12,23.894094
3.54,17.3,23.894094
3.54,18.48,23.894094
3.54,19.66,23.894094
3.54,20.84,23.894094
3.54,22.02,23.894094
3.54,23.2,23.894094
3.54,24.38,23.894094
4.72,-24,23.894094
4.72,-22.82,23.894094
4.72,-21.64,23.894094
4.72,-20.46,23.894094
4.72,-19.28,23.894094
4.72,-18.1,23.894094
4.72,-16.92,23.894094
4.72,-15.74,23.894094
4.72,-14.56,23.894094
4.72,-13.38,23.894094
4.72,-12.2,23.894094
4.72,-11.02,23.894094
4.72,-9.84,23.894094
4.72,-8.66,23.894094
4.72,-7.48,23.894094
4.72,-6.3,23.894094
4.72,-5.12,23.894094
4.72,-3.94,23.894094
4.72,-2.76,23.894094
4.72,-1.58,23.894094
4.72,-0.400000000000002,23.894094
4.72,0.779999999999998,23.894094
4.72,1.96,23.894094
4.72,3.14,23.894094
4.72,4.32,23.894094
4.72,5.5,23.894094
4.72,6.68,23.894094
4.72,7.86,23.894094
4.72,9.04,23.894094
4.72,10.22,23.894094
4.72,11.4,23.894094
4.72,12.58,23.894094
4.72,13.76,23.894094
4.72,14.94,23.894094
4.72,16.12,23.894094
