X,Y,Z,IN_frac,MK_frac,INC_frac
0,0,0,1,0,0
0,0,0.62,0.95,0.05,0
0,0,1.24,0.85,0.15,0
0,0,1.86,0.60,0.4,0
0,0,2.48,0.1,0.9,0
